NA,seedMass,LDMC,SLA,LNC,LCC,LPC,SDMC,circularity,vegetativeHeight,leafLength,leafThickness,leafWidth,petioleLength,Lifeform,photosyntheticPathway,adventitious,primary,bulbs,corms,fibrous,rhizomes,stolons,tubers,habitClean,nFixer,lifeCycleCoded,floweringStartcoded,wis_IL,genome_Use
Carex_brevior,0.89,305.4,224.9,NA,NA,NA,NA,NA,NA,8.63,NA,2.22,NA,NA,C3,1,0,0,0,1,0,0,0,G,0,3,5,FAC,NA
Carex_gravida,NA,381.4,156.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,0,0,0,1,0,0,0,G,0,3,5,FACU,NA
Carex_molesta,NA,376.6,179,NA,NA,NA,NA,NA,91.44,7.85,NA,2.4,NA,NA,C3,1,0,0,0,1,0,0,0,G,0,3,5,FAC,NA
Carex_normalis,0.73,324.9,247.7,NA,NA,NA,NA,NA,152.4,8.06,NA,3.5,NA,NA,C3,1,0,0,0,1,0,0,0,G,0,3,5,FACW,NA
Castilleja_coccinea,0.3125,NA,NA,NA,NA,NA,NA,NA,48.77,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,F,0,1,4,FAC,NA
Ceanothus_americanus,3.49,454.4,12.5,2.16,46.98,0.11,494,0.65,47.35,5.74,0.34,3.65,4.94,phanerophytes,C3,0,1,0,0,0,0,0,0,SS,1,3,6,UPL,1.05
Chamaecrista_fasciculata,7.7429,411.3,NA,NA,NA,NA,414.1,NA,41.4,NA,0.07,NA,3.97,NA,C3,0,1,0,0,0,0,0,0,F,1,1,7,FACU,1.3
Coreopsis_palmata,1.2259,392.3,81.8,1.28,45.89,0.14,431.4,0.1,73.68,5.75,0.3,3.1,NA,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,6,UPL,5.4
Coreopsis_tripteris,1.2472,364.9,85.8,1.59,43.31,NA,412.8,0.08,171.17,8.5,0.39,12.32,19.33,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,7,FAC,5
Dalea_candida,1.868,362.6,85.2,2.38,42.98,NA,47.2,0.07,67.96,3.93,0.38,2.45,4.08,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,1,3,6,UPL,1
Dalea_purpurea,0.9422,381.6,83.5,2.15,42.36,NA,484.9,0.07,48.88,1.61,0.45,1.55,7.38,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,1,3,6,UPL,1.5
Desmanthus_illinoensis,5.8648,420,NA,NA,NA,NA,464.8,NA,94.34,NA,0.11,NA,3.52,NA,C3,0,1,0,0,0,0,0,0,F,1,3,7,FACU,NA
Desmodium_canadense,3.4956,433.4,175.2,2.56,47.79,0.14,43.5,0.16,101.98,7.33,0.21,8.93,5.94,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,1,3,7,FACU,0.9
Desmodium_illinoense,5.72,397,143.8,2.26,42.87,NA,355.6,0.18,70.13,9.54,0.35,10.44,45.08,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,1,3,7,UPL,1.3
Dodecatheon_meadia,0.1599,165.5,195.5,2.22,41.53,NA,254.8,0.44,21.54,14.07,0.39,4.23,58.58,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,4,FACU,5.5
Echinacea_pallida,5.664,225.6,11.6,1.99,37.48,NA,273.3,0.22,52.13,13.88,0.79,1.83,66.92,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,UPL,27.2
Echinacea_purpurea,3.4913,262.7,149.4,1.69,39.15,NA,373.2,0.41,72.5,9.3,0.35,3.12,23.05,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,6,UPL,18.8
Elymus_canadensis,4.2714,542.3,12.4,2.03,46.1,NA,518.7,0.08,100.68,23.54,0.22,1.13,NA,hemicryptophytes,C3,1,0,0,0,1,0,0,0,G,0,3,7,FACU,19.1
Eragrostis_spectabilis,NA,461.1,NA,NA,NA,NA,369.4,NA,14.65,NA,0.1,NA,NA,NA,C4,1,0,0,0,0,1,0,0,G,0,3,6,UPL,2.3
Eryngium_yuccifolium,2.5978,293.4,85.1,1.7,44.9,0.15,32.7,0.11,98.66,16.65,0.57,2.12,NA,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,8.1
Eupatorium_altissimum,0.2887,325.3,92.5,1.69,43.44,NA,454.5,0.31,82.89,6.76,0.39,1.33,NA,hemicryptophytes,C3,0,0,0,0,0,0,0,0,F,0,3,7,FACU,6.1
Euphorbia_corollata,1.8168,343.7,141.2,2.12,45.28,0.19,245.4,0.5,65.94,4.46,0.22,1.09,NA,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,UPL,1.8
Euthamia_graminifolia,0.5349,424.3,12.8,1.48,46.39,NA,497.6,0.14,82.79,4.78,0.26,0.32,NA,hemicryptophytes,C3,1,0,0,0,1,1,0,0,F,0,3,7,FACW,1.7
Fragaria_virginiana,0.4448,269,333,1.5,NA,0.33,196,0.45,19.25,7.53,0.23,10.28,58.38,hemicryptophytes,C3,1,1,0,0,0,1,1,0,F,0,3,4,FACU,1.9
Gentiana_andrewsii,0.0543,NA,NA,NA,NA,NA,NA,NA,60.96,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,F,0,3,8,FACW,NA
Helenium_autumnale,0.5,253.9,145.8,NA,NA,NA,374.9,0.33,111.63,6.53,0.34,1.17,NA,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,8,FACW,NA
Helianthus_divaricatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,0,0,0,1,1,0,0,F,0,3,7,UPL,NA
Helianthus_mollis,4.8,282.5,117.2,NA,NA,NA,NA,0.49,84.69,8.69,0.65,3.9,NA,NA,C3,1,0,0,0,1,1,0,0,F,0,3,8,UPL,NA
Helianthus_occidentalis,2.405,320.9,NA,NA,NA,NA,411.9,NA,65.13,NA,0.42,NA,16.64,NA,C3,1,0,0,0,0,1,0,0,F,0,3,7,FACU,13
Helianthus_pauciflorus,NA,354.4,NA,NA,NA,NA,488.8,NA,114.88,NA,0.66,NA,21.47,NA,C3,1,0,0,0,0,1,0,0,F,0,3,7,UPL,NA
Helianthus_strumosus,3.6556,283,217,NA,NA,0.24,342,0.37,99.75,10.63,0.5,3.03,6.73,geophytes,C3,1,0,0,0,1,1,0,1,F,0,3,7,FACU,NA
Heliopsis_helianthoides,3.5448,239.6,19,2.97,41.59,NA,285.9,0.43,82.49,9.3,0.32,5.54,13.78,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,7,FACU,5.4
Heuchera_richardsonii,0.3348,374.6,122,1.29,46.48,NA,333.8,0.37,23.98,7.4,0.32,7.21,153.5,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,FACU,NA
Hierochloe_odorata,0.9609,192,418.7,NA,NA,NA,NA,NA,55.48,NA,NA,NA,NA,hemicryptophytes,C3,1,0,0,0,0,1,0,0,G,0,3,5,FACW,NA
Hypericum_punctatum,0.04,NA,NA,NA,NA,NA,NA,NA,91.44,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,NA
Hypericum_pyramidatum,0.12,295.3,145.2,NA,NA,NA,294,0.4,105.32,5.94,0.26,1.78,NA,NA,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,NA
Juncus_dudleyi,0.01,NA,NA,NA,NA,NA,518,NA,15.4,NA,0.09,NA,NA,hemicryptophytes,C3,0,0,0,0,0,0,0,0,G,0,3,6,FACW,NA
Juncus_interior,0.016,NA,NA,NA,NA,NA,NA,NA,90.72,NA,NA,NA,NA,NA,C3,0,0,0,0,0,0,0,0,G,0,3,6,FAC,NA
Juncus_tenuis,0.0159,63.6,NA,NA,NA,NA,324.7,NA,19.9,NA,0.14,NA,NA,hemicryptophytes,C3,1,0,0,0,1,0,0,0,G,0,3,6,FAC,0.92
Koeleria_pyramidata,0.1677,430,130.9,1.52,NA,NA,NA,NA,43.9,NA,NA,NA,NA,NA,C3,1,0,0,0,0,0,0,0,G,0,3,6,UPL,5.9
